,question,Actual Abstract,Predicted Abstract,Answer
156,"Name an Indian economist, academic, and politician who served as the 13th Prime Minister of India?","Manmohan Singh (Punjabi: [mənˈmoːɦən ˈsɪ́ŋɡ] (listen); born 26 September 1932) is an Indian economist, academic, and politician who served as the 13th Prime Minister of India from 2004 to 2014.","Manmohan Singh (Punjabi: [mənˈmoːɦən ˈsɪ́ŋɡ] (listen); born 26 September 1932) is an Indian economist, academic, and politician who served as the 13th Prime Minister of India from 2004 to 2014.",Manmohan Singh
157,Name an Indian politician who served as the 13th President of India?,Pranab Mukherjee (born 11 December 1935) is an Indian politician who served as the 13th President of India from 2012 until 2017.,Pranab Mukherjee (born 11 December 1935) is an Indian politician who served as the 13th President of India from 2012 until 2017.,Pranab Mukherjee
158,"Name an Indian politician serving as the 14th President of India, in office since 25 July 2017?","Ram Nath Kovind (born 1 October 1945) is an Indian politician serving as the 14th President of India, in office since 25 July 2017.","Ram Nath Kovind (born 1 October 1945) is an Indian politician serving as the 14th President of India, in office since 25 July 2017.",Ram Nath Kovind
159,Name an Indian politician serving as the 14th and current Prime Minister of India?,Narendra Damodardas Modi (Gujarati pronunciation: [ˈnəɾendrə dɑmodəɾˈdɑs ˈmodiː] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014.,Narendra Damodardas Modi (Gujarati pronunciation: [ˈnəɾendrə dɑmodəɾˈdɑs ˈmodiː] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014.,Narendra Damodardas Modi
160,Who is Pulloli Thomas Chacko?,Pulloli Thomas Chacko was a prominent politician of Travancore and later Kerala.,Thomas Duff (born 1956) is an American billionaire businessman.,billionaire businessman
161,"What is Arackaparambil Kurien Antony, who was the 23rd Defence Minister of India better known as?","Arackaparambil Kurien Antony, better known as A. K. Antony (born 28 December 1940) is an Indian politician and attorney who was the 23rd Defence Minister of India and he was also the Chief Minister of Kerala.","Arackaparambil Kurien Antony, better known as A. K. Antony (born 28 December 1940) is an Indian politician and attorney who was the 23rd Defence Minister of India and he was also the Chief Minister of Kerala.",A. K. Antony
162,When was Velikkakathu Sankaran Achuthanandan born?,Velikkakathu Sankaran Achuthanandan (born 20 October 1923) is a veteran Indian politician who was Chief Minister of Kerala from 2006 to 2011.,Velikkakathu Sankaran Achuthanandan (born 20 October 1923) is a veteran Indian politician who was Chief Minister of Kerala from 2006 to 2011.,20 October 1923
163,Who was the third Chief Minister of Kerala from 1962 to 1964?,R. Sankar (30 April 1909 – 7 November 1972) was the third Chief Minister of Kerala from 1962 to 1964.,R. Sankar (30 April 1909 – 7 November 1972) was the third Chief Minister of Kerala from 1962 to 1964.,R. Sankar
164,Name an Indian politician who is the current Chief Minister of Kerala?,"Pinarayi Vijayan (born 24 May 1944 in Pinarayi) is an Indian politician who is the current Chief Minister of Kerala, serving since 25 May 2016.","Pinarayi Vijayan (born 24 May 1944 in Pinarayi) is an Indian politician who is the current Chief Minister of Kerala, serving since 25 May 2016.",Pinarayi Vijayan
165,Name an English composer and impresario of musical theatre?,"Andrew Lloyd Webber, Baron Lloyd-Webber (born 22 March 1948) is an English composer and impresario of musical theatre.","Andrew Lloyd Webber, Baron Lloyd-Webber (born 22 March 1948) is an English composer and impresario of musical theatre.","Andrew Lloyd Webber, Baron Lloyd-Webber"
166,What is Sir Edward Richard George Heath often known as?,"Sir Edward Richard George Heath  (9 July 1916 – 17 July 2005), often known as Ted Heath, was a British politician who served as Prime Minister of the United Kingdom from 1970 to 1974 and Leader of the Conservative Party from 1965 to 1975.","Sir Edward Richard George Heath  (9 July 1916 – 17 July 2005), often known as Ted Heath, was a British politician who served as Prime Minister of the United Kingdom from 1970 to 1974 and Leader of the Conservative Party from 1965 to 1975.",Ted Heath
167,Name a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963?,"Maurice Harold Macmillan, 1st Earl of Stockton,  (10 February 1894 – 29 December 1986) was a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963.","Maurice Harold Macmillan, 1st Earl of Stockton,  (10 February 1894 – 29 December 1986) was a British Conservative politician who served as Prime Minister of the United Kingdom from 1957 to 1963.",Maurice Harold Macmillan
168,Who is Arthur Neville Chamberlain?,Arthur Neville Chamberlain  (; 18 March 1869 – 9 November 1940) was a British Conservative politician who served as Prime Minister of the United Kingdom from May 1937 to May 1940.,"In 1940 he became prime minister, replacing Neville Chamberlain.",prime minister
169,Name a a Belgian journalist and politician of the New Flemish Alliance?,Johan Van Overtveldt (born 24 August 1955) is a Belgian journalist and politician of the New Flemish Alliance (N-VA).,Johan Van Overtveldt (born 24 August 1955) is a Belgian journalist and politician of the New Flemish Alliance (N-VA).,Johan Van Overtveldt
170,Who is Beatrix Amelie Ehrengard Eilika von Storch?,Beatrix Amelie Ehrengard Eilika von Storch (née Duchess of Oldenburg; 27 May 1971) is a German politician who has been Deputy Leader of the Alternative for Germany since July 2015 and Member of the Bundestag since September 2017.,Beatrix Amelie Ehrengard Eilika von Storch (née Duchess of Oldenburg; 27 May 1971) is a German politician who has been Deputy Leader of the Alternative for Germany since July 2015 and Member of the Bundestag since September 2017.,a German politician
171,"Name a Finnish politician who served as Minister for European Affairs, Culture and Sports?","Sampo Terho (Born 20 September 1977) is a Finnish politician who served as Minister for European Affairs, Culture and Sports.","Sampo Terho (Born 20 September 1977) is a Finnish politician who served as Minister for European Affairs, Culture and Sports.",Sampo Terho
172,When was Dr Timothy Charles Ayrton Tannock born?,"Dr Timothy Charles Ayrton Tannock  (born 25 September 1957) is a British politician, psychiatrist, and former Member of the European Parliament for London for the Conservative Party.","Dr Timothy Charles Ayrton Tannock  (born 25 September 1957) is a British politician, psychiatrist, and former Member of the European Parliament for London for the Conservative Party.",25 September 1957
173,Name a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament?,Helga Stevens (born 9 August 1968) is a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament since 2014.,Helga Stevens (born 9 August 1968) is a Belgian politician of the New Flemish Alliance (N-VA) and member of the European Parliament since 2014.,Helga Stevens
174,Who is Monica Luisa Macovei?,"Monica Luisa Macovei (Romanian pronunciation: [moˈnika luˈisa makoˈvej]; born 4 February 1959) is a Romanian politician, lawyer and former prosecutor, currently a Member of the European Parliament from the European Conservatives and Reformists and formerly a member of the Romanian Democratic Liberal Party.","Monica Luisa Macovei (Romanian pronunciation: [moˈnika luˈisa makoˈvej]; born 4 February 1959) is a Romanian politician, lawyer and former prosecutor, currently a Member of the European Parliament from the European Conservatives and Reformists and formerly a member of the Romanian Democratic Liberal Party.","a Romanian politician, lawyer and former prosecutor"
175,When was Jussi Kristian Halla-aho born?,Jussi Kristian Halla-aho (born 27 April 1971) is a Finnish politician and a member of the Parliament of Finland  (MP).,Jussi Kristian Halla-aho (born 27 April 1971) is a Finnish politician and a member of the Parliament of Finland  (MP).,27 April 1971
176,When was Thakur Artha Niranjan Joseph De Silva Deva Aditya born?,"Thakur Artha Niranjan Joseph De Silva Deva Aditya,  (born 11 May 1948), known as Nirj Deva, is a British politician.","Thakur Artha Niranjan Joseph De Silva Deva Aditya,  (born 11 May 1948), known as Nirj Deva, is a British politician.",11 May 1948
177,Name a Dutch politician and former Member of the European Parliament (MEP) from the Netherlands?,"Bastiaan ""Bas"" Belder (born 25 October 1946) is a Dutch politician and former Member of the European Parliament (MEP) from the Netherlands.",Peter van Dalen (born 3 September 1958) is a Dutch politician and Member of the European Parliament (MEP) from the Netherlands.,Peter van Dalen
178,Who is Nikolay Tihomirov Barekov?,"Nikolay Tihomirov Barekov (Bulgarian: Николай Тихомиров Бареков) (born 16 October 1972) is a Bulgarian journalist, politician, and businessman.","Nine months later, he was named the 2009 Nobel Peace Prize laureate.",Nobel Peace Prize laureate
179,Name an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA)?,"Douglas Dale Christie (born May 9, 1970) is an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA).","Douglas Dale Christie (born May 9, 1970) is an American retired professional basketball player who played 15 seasons in the National Basketball Association (NBA).",Douglas Dale Christie
180,When did Sinclair McKnight Stevens die?,"Sinclair McKnight Stevens,  (February 11, 1927 – November 30, 2016) was a Canadian lawyer, businessman and cabinet minister.","Sinclair McKnight Stevens,  (February 11, 1927 – November 30, 2016) was a Canadian lawyer, businessman and cabinet minister.","November 30, 2016"
181,"Name a Canadian political activist, tax reform advocate, politician, and author?","Jean-Serge Brisson (born June 28, 1954) is a Canadian political activist, tax reform advocate, politician, and author.","Jean-Serge Brisson (born June 28, 1954) is a Canadian political activist, tax reform advocate, politician, and author.",Jean-Serge Brisson
182,When was Rodney Sturt Taylor born?,Rodney Sturt Taylor (11 January 1930 – 7 January 2015) was an Australian-American actor.,Rodney Sturt Taylor (11 January 1930 – 7 January 2015) was an Australian-American actor.,11 January 1930
183,"Name a Canadian political activist and former school trustee in Surrey, British Columbia?","Heather Stilwell (January 26, 1944 – December 3, 2010) was a Canadian political activist and former school trustee in Surrey, British Columbia.","Heather Stilwell (January 26, 1944 – December 3, 2010) was a Canadian political activist and former school trustee in Surrey, British Columbia.",Heather Stilwell
184,Who is Edward John Vanwoudenberg?,"Edward John Vanwoudenberg is a Canadian minor-party politician, and was head of the Christian Heritage Party of Canada, from the party's founding convention in 1987 until 1991.","Edward John Vanwoudenberg is a Canadian minor-party politician, and was head of the Christian Heritage Party of Canada, from the party's founding convention in 1987 until 1991.",a Canadian minor-party politician
185,Name a Canadian economist and politician who served as the 22nd prime minister of Canada?,"Stephen Joseph Harper   (born April 30, 1959) is a Canadian economist and politician who served as the 22nd prime minister of Canada for nearly a decade, from February 6, 2006, to November 4, 2015.","Stephen Joseph Harper   (born April 30, 1959) is a Canadian economist and politician who served as the 22nd prime minister of Canada for nearly a decade, from February 6, 2006, to November 4, 2015.",Stephen Joseph Harper
186,When did Elsie Eleanore Wayne die?,"Elsie Eleanore Wayne (née Fairweather; April 20, 1932 – August 23, 2016) was a Canadian politician who served as a Progressive Conservative member of parliament for Saint John from 1993 to 2004.","Elsie Eleanore Wayne (née Fairweather; April 20, 1932 – August 23, 2016) was a Canadian politician who served as a Progressive Conservative member of parliament for Saint John from 1993 to 2004.","August 23, 2016"
187,"What is John James Charest, a Canadian politician who served as the 29th premier of Quebec known as?","John James Charest  (born June 24, 1958), known as Jean Charest, is a Canadian politician who served as the 29th premier of Quebec, from 2003 to 2012; the deputy prime minister of Canada from June 25, 1993, until November 4, 1993; the leader of the federal Progressive Conservative Party of Canada from 1993 to 1998; and the leader of the Quebec Liberal Party from 1998 to 2012.","John James Charest  (born June 24, 1958), known as Jean Charest, is a Canadian politician who served as the 29th premier of Quebec, from 2003 to 2012; the deputy prime minister of Canada from June 25, 1993, until November 4, 1993; the leader of the federal Progressive Conservative Party of Canada from 1993 to 1998; and the leader of the Quebec Liberal Party from 1998 to 2012.",Jean Charest
188,"Who is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada?","Avril Phaedra Douglas ""Kim"" Campbell  (born March 10, 1947) is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada from June 25, 1993, to November 4, 1993.","Avril Phaedra Douglas ""Kim"" Campbell  (born March 10, 1947) is a Canadian politician, diplomat, lawyer and writer who served as the 19th prime minister of Canada from June 25, 1993, to November 4, 1993.","Avril Phaedra Douglas ""Kim"" Campbell"
189,When was Martin Brian Mulroney born?,"Martin Brian Mulroney  (; born March 20, 1939) is a Canadian politician who served as the 18th prime minister of Canada from September 17, 1984, to June 25, 1993.","Martin Brian Mulroney  (; born March 20, 1939) is a Canadian politician who served as the 18th prime minister of Canada from September 17, 1984, to June 25, 1993.","March 20, 1939"
190,Name a Canadian lawyer and politician who served as the eighth prime minister of Canada?,"Sir Robert Laird Borden,  (June 26, 1854 – June 10, 1937) was a Canadian lawyer and politician who served as the eighth prime minister of Canada, in office from 1911 to 1920.","Sir Robert Laird Borden,  (June 26, 1854 – June 10, 1937) was a Canadian lawyer and politician who served as the eighth prime minister of Canada, in office from 1911 to 1920.",Sir Robert Laird Borden
191,"What is Peter David Broughton, a New Zealand stage and screen actor, director and writer generally known as?","Peter David Broughton , generally known as Rawiri Paratene, is a New Zealand stage and screen actor, director and writer.","Peter David Broughton , generally known as Rawiri Paratene, is a New Zealand stage and screen actor, director and writer.",Rawiri Paratene
192,Name an Australian politician serving as the 30th and current Prime Minister of Australia?,Scott John Morrison (born 13 May 1968) is an Australian politician serving as the 30th and current Prime Minister of Australia having become the leader of the governing Liberal Party in August 2018.,Scott John Morrison (born 13 May 1968) is an Australian politician serving as the 30th and current Prime Minister of Australia having become the leader of the governing Liberal Party in August 2018.,Scott John Morrison
193,"When was Gary Stephen ""Angry"" Anderson AM born?","Gary Stephen ""Angry"" Anderson AM (born 5 August 1947) is an Australian rock singer-songwriter, television presenter-reporter and actor.","Gary Stephen ""Angry"" Anderson AM (born 5 August 1947) is an Australian rock singer-songwriter, television presenter-reporter and actor.",5 August 1947
194,What is Percy Mahendra Rajapaksa commonly known as?,"Percy Mahendra Rajapaksa commonly known as Mahinda Rajapaksa (Sinhala: මහින්ද රාජපක්ෂ, Tamil: மஹிந்த ராஜபக்ஷ; born 18 November 1945) is a Sri Lankan politician currently serving as the Prime Minister of Sri Lanka since 21 November 2019 after being appointed by his brother, President Gotabaya Rajapaksa.","He is also commonly known in Japanese as ""Shuwa-chan"" (シュワちゃん).",Shuwa-chan
195,When was Robinhood Ferdinand Cariño Padilla born?,"Robinhood Ferdinand Cariño Padilla (born November 23, 1969) is a Filipino film actor, screenwriter, producer and director.","Robinhood Ferdinand Cariño Padilla (born November 23, 1969) is a Filipino film actor, screenwriter, producer and director.","November 23, 1969"
196,"What was Enrico de Jesus Puno, a Filipino singer, television host, actor, comedian & politician better known as?","Enrico de Jesus Puno (February 13, 1953 – October 30, 2018), better known as Rico J. Puno, was a Filipino singer, television host, actor, comedian & politician.","Enrico de Jesus Puno (February 13, 1953 – October 30, 2018), better known as Rico J. Puno, was a Filipino singer, television host, actor, comedian & politician.",Rico J. Puno
197,What is Manuel Monsour Tabib del Rosario III best known as?,"Manuel Monsour Tabib del Rosario III (born May 11, 1965), best known as Monsour del Rosario, is an former congressman representing the first legislative district of Makati, and former City Council from 1st district of Makati.","Manuel Monsour Tabib del Rosario III (born May 11, 1965), best known as Monsour del Rosario, is an former congressman representing the first legislative district of Makati, and former City Council from 1st district of Makati.",Monsour del Rosario
198,"What is Lucy Torres Gomez, a Filipina actress and politician and the current representative of the 4th District of Leyte known as?","Lucy Torres Gomez (born December 11, 1974) more commonly known as Lucy Torres is a Filipina actress and politician and the current representative of the 4th District of Leyte.","Lucy Torres Gomez (born December 11, 1974) more commonly known as Lucy Torres is a Filipina actress and politician and the current representative of the 4th District of Leyte.",Lucy
199,"When was Luciano Mariaño ""Lou"" Veloso born?","Luciano Mariaño ""Lou"" Veloso (born January 7, 1950) is a Filipino actor, comedian, theater actor, musical theater director, movie director and politician.","Luciano Mariaño ""Lou"" Veloso (born January 7, 1950) is a Filipino actor, comedian, theater actor, musical theater director, movie director and politician.","January 7, 1950"
200,Who is Julian Marcus Daang Trono?,"Julian Marcus Daang Trono (born September 16, 1997) is a Filipino actor, dancer, choreographer and media personality.","Julian Marcus Daang Trono (born September 16, 1997) is a Filipino actor, dancer, choreographer and media personality.","a Filipino actor, dancer, choreographer and media personality"
201,"Name a Filipino actor, comedian, and politician who was formerly under GMA Network?","Ramon ""Jolo"" Revilla III (born José Lorenzo Hernández Bautista III, March 15, 1988) is a Filipino actor, comedian, and politician who was formerly under GMA Network.","Ramon ""Jolo"" Revilla III (born José Lorenzo Hernández Bautista III, March 15, 1988) is a Filipino actor, comedian, and politician who was formerly under GMA Network.","Ramon ""Jolo"" Revilla III"
202,"What was Joselito Perez Marquez, a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association better known as?","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.",Joey Marquez
203,What is Jose Pimentel Ejercito Jr. better known as?,"Jose Pimentel Ejercito Jr. (born February 17, 1963), better known as Jinggoy Estrada (Tagalog: [dʒɪŋˈɡoɪ]), is a Filipino politician, actor & film producer.","Jose Pimentel Ejercito Jr. (born February 17, 1963), better known as Jinggoy Estrada (Tagalog: [dʒɪŋˈɡoɪ]), is a Filipino politician, actor & film producer.",Jinggoy Estrada
204,"When was Herbert Constantine ""Bistek"" Maclang Bautista born?","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.","May 12, 1968"
205,"Name an an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran?","Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran.","Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran.",Eduardo Barrios Manzano
206,"What is Andrés José Garchitorena Yllana Jr, an actor-comedian, television host and politician better known as?","Andrés José Garchitorena Yllana Jr., better known as Anjo Yllana (born April 24, 1968), is an actor-comedian, television host and politician.","Andrés José Garchitorena Yllana Jr., better known as Anjo Yllana (born April 24, 1968), is an actor-comedian, television host and politician.",Anjo Yllana
207,"What is Angelica B. Alarva,  a singer actress and politician in the Philippines better known as?","Angelica B. Alarva (born January 20, 1983), known as Angelica Jones, is a singer actress and politician in the Philippines.","Angelica B. Alarva (born January 20, 1983), known as Angelica Jones, is a singer actress and politician in the Philippines.",Angelica Jones
208,"When was Alfred Vargas, a Filipino public servant, actor and model born?","Alfred Vargas (born October 24, 1981) is a Filipino public servant, actor and model.","Alfred Vargas (born October 24, 1981) is a Filipino public servant, actor and model.","October 24, 1981"
209,Who is Ariel Aquino Muhlach?,"Ariel Aquino Muhlach (Tagalog pronunciation: [ˈmulax], born August 12, 1969), commonly known as Aga Muhlach, is a multi-award winning Filipino actor and product endorser.He was introduced to the entertainment industry using his real name ""Ariel Muhlach"" at the age of seven when he appeared in the 1975 film May Isang Tsuper ng Taksi and the 1976 film, Babaing Hiwalay Sa Asawa, but he only became well known (under his new screen name ""Aga Muhlach"") with the success of the 1984 film Bagets, after which he became a popular matinee idol.","Ariel Aquino Muhlach (Tagalog pronunciation: [ˈmulax], born August 12, 1969), commonly known as Aga Muhlach, is a multi-award winning Filipino actor and product endorser.He was introduced to the entertainment industry using his real name ""Ariel Muhlach"" at the age of seven when he appeared in the 1975 film May Isang Tsuper ng Taksi and the 1976 film, Babaing Hiwalay Sa Asawa, but he only became well known (under his new screen name ""Aga Muhlach"") with the success of the 1984 film Bagets, after which he became a popular matinee idol.",a multi-award winning Filipino actor and product endorser
210,Name a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP)?,"Katsuhiko Yokomitsu (横光 克彦, Yokomitsu Katsuhiko, born November 4, 1943) is a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP), a member of the House of Representatives in the National Diet (national legislature).","Katsuhiko Yokomitsu (横光 克彦, Yokomitsu Katsuhiko, born November 4, 1943) is a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP), a member of the House of Representatives in the National Diet (national legislature).",Katsuhiko Yokomitsu
211,"Name a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet?","Akira Matsu (松 あきら, Matsu Akira, born December 3, 1947) is a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet (national legislature).","Akira Matsu (松 あきら, Matsu Akira, born December 3, 1947) is a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet (national legislature).",Akira Matsu
212,Name a Japanese politician and author who was Governor of Tokyo from 1999 to 2012?,"Shintaro Ishihara (石原 慎太郎, Ishihara Shintarō, born 30 September 1932) is a Japanese politician and author who was Governor of Tokyo from 1999 to 2012.","Shintaro Ishihara (石原 慎太郎, Ishihara Shintarō, born 30 September 1932) is a Japanese politician and author who was Governor of Tokyo from 1999 to 2012.",Shintaro Ishihara
213,Who is Rajpal Yadav?,"Rajpal Yadav is an Indian actor, known for his works in Hindi cinema.","After graduating, he became a civil rights attorney and an academic, teaching constitutional law at the University of Chicago Law School from 1992 to 2004.",civil rights attorney
214,"When was Vijayaraj Alagarswami,  an Indian politician and film actor who has worked predominantly in Tamil cinema born?","Vijayaraj Alagarswami  (born 25 August 1952), better known by his stage name Vijayakanth, is an Indian politician and film actor who has worked predominantly in Tamil cinema.","Vijayaraj Alagarswami  (born 25 August 1952), better known by his stage name Vijayakanth, is an Indian politician and film actor who has worked predominantly in Tamil cinema.",25 August 1952
215,"What is Upendra Rao, an Indian filmmaker, actor and politician known for his work in Kannada cinema also known as?","Upendra Rao, also known as Upendra, is an Indian filmmaker, actor and politician known for his work in Kannada cinema.","Upendra Rao, also known as Upendra, is an Indian filmmaker, actor and politician known for his work in Kannada cinema.",Upendra
216,"When did Upendra Jethalal Trivedi, an Indian film and stage actor, director and producer die?","Upendra Jethalal Trivedi (14 July 1936 –  4 January 2015) was an Indian film and stage actor, director and producer who was one of the most prolific actors of Gujarati cinema.","Upendra Jethalal Trivedi (14 July 1936 –  4 January 2015) was an Indian film and stage actor, director and producer who was one of the most prolific actors of Gujarati cinema.",4 January 2015
217,Name a former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman?,Vani Tripathi is former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman.,Vani Tripathi is former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman.,Vani Tripathi
218,"Name an Indian film actress, producer and television presenter who has acted in more than 200 movies?","Khushbu Sundar is an Indian film actress, producer and television presenter who has acted in more than 200 movies.","Khushbu Sundar is an Indian film actress, producer and television presenter who has acted in more than 200 movies.",Khushbu Sundar
219,"When was  Shekhar Suman, an Indian film actor, anchor, producer, director, and singer born?","Shekhar Suman (born 7 December 1962) is an Indian film actor, anchor, producer, director, and singer .","Shekhar Suman (born 7 December 1962) is an Indian film actor, anchor, producer, director, and singer .",7 December 1962
220,Name an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016?,Muthuvel Karunanidhi Stalin (born 1 March 1953) is an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016.,Muthuvel Karunanidhi Stalin (born 1 March 1953) is an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016.,Muthuvel Karunanidhi Stalin
221,"What is Divya Spandana,  an Indian film actress and politician who was the Member of Parliament in the Lok Sabha known professionally as?","Divya Spandana (born 29 November 1982), who was known professionally as Ramya (Kannada: ರಮ್ಯಾ Ramyā), is an Indian film actress and politician who was the Member of Parliament in the Lok Sabha from Mandya,  Karnataka.","Divya Spandana (born 29 November 1982), who was known professionally as Ramya (Kannada: ರಮ್ಯಾ Ramyā), is an Indian film actress and politician who was the Member of Parliament in the Lok Sabha from Mandya,  Karnataka.",Ramya
222,"When was Shruti Haasab, an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films born?","Shruti Haasan (born 28 January 1986) is an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films.","Shruti Haasan (born 28 January 1986) is an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films.",28 January 1986
223,Who is Sattanathapuram Venkataraman Shekhar?,Sattanathapuram Venkataraman Shekhar (born 26 December 1950) better known as 'S.,Shekhar' is a Tamil playwright and film actor.,a Tamil playwright and film actor
224,Name a three-time National Award winning Indian actress and politician from Andhra Pradesh?,Sharada (born Saraswati Devi; 25 June 1945) is a three-time National Award winning Indian actress and politician from Andhra Pradesh.,Sharada (born Saraswati Devi; 25 June 1945) is a three-time National Award winning Indian actress and politician from Andhra Pradesh.,Sharada
225,When was Shabana Azmi born?,"Shabana Azmi (born 18 September 1950) is an Indian actress of film, television and theatre.","Shabana Azmi (born 18 September 1950) is an Indian actress of film, television and theatre.",18 September 1950
226,"Name a former TDP parliamentarian, film actor,producer and director in Telugu cinema?","Kaikala Satyanarayana is a former TDP parliamentarian, film actor,producer and director in Telugu cinema.","Kaikala Satyanarayana is a former TDP parliamentarian, film actor,producer and director in Telugu cinema.",Kaikala Satyanarayana
227,"Name an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association?","Ramanathan Sarathkumar (born 14 July 1954) is an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association.","Ramanathan Sarathkumar (born 14 July 1954) is an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association.",Ramanathan Sarathkumar
228,"Name  an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films?","Kovai Sarala is an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films.","Kovai Sarala is an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films.",Kovai Sarala
229,Name an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam?,J. K. Rithesh (5 March 1973 – 13 April 2019) was an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam.,J. K. Rithesh (5 March 1973 – 13 April 2019) was an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam.,J. K. Rithesh
230,"When was Paresh Rawal, an Indian film actor, comedian and politician known for his works notably in Bollywood born?","Paresh Rawal (born 30 May 1955) is an Indian film actor, comedian and politician known for his works notably in Bollywood.","Paresh Rawal (born 30 May 1955) is an Indian film actor, comedian and politician known for his works notably in Bollywood.",30 May 1955
231,"Name an Indian film character actor, and producer, known for his works predominantly in the Telugu cinema, and Telugu theatre?","Rao Gopal Rao (born Raavu Gopala Rao) (14 January 1937 – 13 August 1994) was an Indian film character actor, and producer, known for his works predominantly in the Telugu cinema, and Telugu theatre.","Rao Gopal Rao (born Raavu Gopala Rao) (14 January 1937 – 13 August 1994) was an Indian film character actor, and producer, known for his works predominantly in the Telugu cinema, and Telugu theatre.",Rao Gopal Rao
232,"What is Swetha, an Indian politician and former actress popularly known as?","Swetha (born 31 March 1984), popularly known as Rakshita, is an Indian politician and former actress.","Swetha (born 31 March 1984), popularly known as Rakshita, is an Indian politician and former actress.",Rakshita
233,Who is Basavanagowda Channabasavanagowda Patil?,"Basavanagowda Channabasavanagowda Patil, popularly known as B. C. Patil, is a Kannada actor and is a three-term MLA from Hirekerur assembly constituency.","Basavanagowda Channabasavanagowda Patil, popularly known as B. C. Patil, is a Kannada actor and is a three-term MLA from Hirekerur assembly constituency.",a Kannada actor
234,Name an Indian politician and President of Lok Janshakti Party?,Chirag Paswan (born 31 October 1983) is an Indian politician and President of Lok Janshakti Party.,Chirag Paswan (born 31 October 1983) is an Indian politician and President of Lok Janshakti Party.,Chirag Paswan
235,Who is Arun Pandian?,"Arun Pandian is an Indian film actor, director, producer and politician.","Arun Pandian is an Indian film actor, director, producer and politician.","an Indian film actor, director, producer and politician"
236,"Name an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant?","Gul Panag (born Gulkirat Kaur Panag, 3 January 1979; Chandigarh, India) is an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant.","Gul Panag (born Gulkirat Kaur Panag, 3 January 1979; Chandigarh, India) is an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant.",Gul Panag
