,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
195,When was Robinhood Ferdinand Cariño Padilla born?,"Robinhood Ferdinand Cariño Padilla (born November 23, 1969) is a Filipino film actor, screenwriter, producer and director.","[[-0.01890067  0.08750992  0.11808187 ... -0.00351874 -0.01130002
   0.01315273]]","Robinhood Ferdinand Cariño Padilla (born November 23, 1969) is a Filipino film actor, screenwriter, producer and director.","November 23, 1969"
196,"What was Enrico de Jesus Puno, a Filipino singer, television host, actor, comedian & politician better known as?","Enrico de Jesus Puno (February 13, 1953 – October 30, 2018), better known as Rico J. Puno, was a Filipino singer, television host, actor, comedian & politician.",[[0.00288406 0.16221893 0.17603861 ... 0.03918063 0.02215189 0.11479127]],"Enrico de Jesus Puno (February 13, 1953 – October 30, 2018), better known as Rico J. Puno, was a Filipino singer, television host, actor, comedian & politician.",Rico J Puno
197,What is Manuel Monsour Tabib del Rosario III best known as?,"Manuel Monsour Tabib del Rosario III (born May 11, 1965), best known as Monsour del Rosario, is an former congressman representing the first legislative district of Makati, and former City Council from 1st district of Makati.","[[-0.02042911  0.07982138  0.00181036 ...  0.09636857  0.07644149
   0.05117181]]","Manuel Monsour Tabib del Rosario III (born May 11, 1965), best known as Monsour del Rosario, is an former congressman representing the first legislative district of Makati, and former City Council from 1st district of Makati.",Monsour del Rosario
198,"What is Lucy Torres Gomez, a Filipina actress and politician and the current representative of the 4th District of Leyte known as?","Lucy Torres Gomez (born December 11, 1974) more commonly known as Lucy Torres is a Filipina actress and politician and the current representative of the 4th District of Leyte.","[[-0.02042911  0.06738786  0.15866761 ...  0.06884661  0.07775268
   0.10173086]]","Lucy Torres Gomez (born December 11, 1974) more commonly known as Lucy Torres is a Filipina actress and politician and the current representative of the 4th District of Leyte.",Lucy Torres
199,"When was Luciano Mariaño ""Lou"" Veloso born?","Luciano Mariaño ""Lou"" Veloso (born January 7, 1950) is a Filipino actor, comedian, theater actor, musical theater director, movie director and politician.",[[0.00561934 0.04943122 0.10312093 ... 0.13641968 0.02070393 0.02333096]],"Luciano Mariaño ""Lou"" Veloso (born January 7, 1950) is a Filipino actor, comedian, theater actor, musical theater director, movie director and politician.","January 7, 1950"
200,Who is Julian Marcus Daang Trono?,"Julian Marcus Daang Trono (born September 16, 1997) is a Filipino actor, dancer, choreographer and media personality.","[[-0.02042911  0.04943122  0.07879968 ...  0.12026286  0.07492724
   0.02560692]]","Julian Marcus Daang Trono (born September 16, 1997) is a Filipino actor, dancer, choreographer and media personality.","Julian Marcus Daang Trono (born September 16, 1997) is a Filipino actor, dancer, choreographer and media personality."
201,"Name a Filipino actor, comedian, and politician who was formerly under GMA Network?","Ramon ""Jolo"" Revilla III (born José Lorenzo Hernández Bautista III, March 15, 1988) is a Filipino actor, comedian, and politician who was formerly under GMA Network.",[[0.01666664 0.18277037 0.12228759 ... 0.04424425 0.03012353 0.10397594]],"Ramon ""Jolo"" Revilla III (born José Lorenzo Hernández Bautista III, March 15, 1988) is a Filipino actor, comedian, and politician who was formerly under GMA Network.","Ramon ""Jolo"" Revilla III "
202,"What was Joselito Perez Marquez, a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association better known as?","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.","[[-0.01890067  0.15956372  0.11067279 ...  0.01733901  0.1040249
   0.08918831]]","Joselito Perez Marquez, better known as Joey Marquez, is a Filipino actor, comedian, politician and former professional basketball player in the Philippine Basketball Association.",Joey Marquez
203,What is Jose Pimentel Ejercito Jr. better known as?,"Jose Pimentel Ejercito Jr. (born February 17, 1963), better known as Jinggoy Estrada (Tagalog: [dʒɪŋˈɡoɪ]), is a Filipino politician, actor & film producer.","[[ 0.00339872  0.16387886  0.14005038 ...  0.04713938 -0.00712139
   0.07088852]]","Emilio Ramon Pelayo Ejercito III (born October 5, 1963), commonly known as E.R.",Answer not found!
204,"When was Herbert Constantine ""Bistek"" Maclang Bautista born?","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.","[[-0.01890067  0.15941322 -0.00854693 ...  0.02573872  0.15477699
   0.04597282]]","Herbert Constantine ""Bistek"" Maclang Bautista (born May 12, 1968) is a Filipino actor and politician.","May 12, 1968"
205,"Name an an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran?","Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran.","[[-0.02874381  0.04943122  0.19615719 ...  0.06547072  0.0397149
   0.10505896]]","Eduardo Barrios Manzano (born September 14, 1955) is an American-born Filipino actor, comedian, politician, television personality and United States Air Force veteran.",Eduardo Barrios Manzano 
206,"What is Andrés José Garchitorena Yllana Jr, an actor-comedian, television host and politician better known as?","Andrés José Garchitorena Yllana Jr., better known as Anjo Yllana (born April 24, 1968), is an actor-comedian, television host and politician.","[[-0.02042911  0.08810622  0.220492   ...  0.08726502  0.05168176
   0.09120324]]","Andrés José Garchitorena Yllana Jr., better known as Anjo Yllana (born April 24, 1968), is an actor-comedian, television host and politician.",Anjo Yllana
207,"What is Angelica B. Alarva,  a singer actress and politician in the Philippines better known as?","Angelica B. Alarva (born January 20, 1983), known as Angelica Jones, is a singer actress and politician in the Philippines.","[[-0.02042911  0.10855738  0.17664821 ...  0.01733901  0.03711051
   0.0862737 ]]","Angelica B. Alarva (born January 20, 1983), known as Angelica Jones, is a singer actress and politician in the Philippines.",Angelica Jones
208,"When was Alfred Vargas, a Filipino public servant, actor and model born?","Alfred Vargas (born October 24, 1981) is a Filipino public servant, actor and model.","[[-0.01890067  0.04943122  0.02003643 ...  0.02432872  0.06901508
   0.08861283]]","Alfred Vargas (born October 24, 1981) is a Filipino public servant, actor and model.","October 24, 1981"
209,Who is Ariel Aquino Muhlach?,"Ariel Aquino Muhlach (Tagalog pronunciation: [ˈmulax], born August 12, 1969), commonly known as Aga Muhlach, is a multi-award winning Filipino actor and product endorser.He was introduced to the entertainment industry using his real name ""Ariel Muhlach"" at the age of seven when he appeared in the 1975 film May Isang Tsuper ng Taksi and the 1976 film, Babaing Hiwalay Sa Asawa, but he only became well known (under his new screen name ""Aga Muhlach"") with the success of the 1984 film Bagets, after which he became a popular matinee idol.","[[-0.02042911  0.17511211  0.09404568 ... -0.01258786 -0.05088368
   0.09704894]]",Sandhya Roy is an Indian actress and politician.,Answer not found!
210,Name a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP)?,"Katsuhiko Yokomitsu (横光 克彦, Yokomitsu Katsuhiko, born November 4, 1943) is a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP), a member of the House of Representatives in the National Diet (national legislature).",[[0.01666664 0.04943122 0.16665119 ... 0.07081562 0.04603818 0.10407727]],"Katsuhiko Yokomitsu (横光 克彦, Yokomitsu Katsuhiko, born November 4, 1943) is a Japanese actor and politician of the Constitutional Democratic Party of Japan (CDP), a member of the House of Representatives in the National Diet (national legislature).",Katsuhiko Yokomitsu 
211,"Name a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet?","Akira Matsu (松 あきら, Matsu Akira, born December 3, 1947) is a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet (national legislature).",[[0.01666664 0.06008007 0.18172114 ... 0.08978018 0.04290391 0.12837695]],"Akira Matsu (松 あきら, Matsu Akira, born December 3, 1947) is a Japanese politician of the New Komeito Party, a member of the House of Councillors in the Diet (national legislature).",Akira Matsu 
212,Name a Japanese politician and author who was Governor of Tokyo from 1999 to 2012?,"Shintaro Ishihara (石原 慎太郎, Ishihara Shintarō, born 30 September 1932) is a Japanese politician and author who was Governor of Tokyo from 1999 to 2012.",[[0.01666664 0.04943122 0.16668528 ... 0.05254492 0.05519353 0.09962441]],"Shintaro Ishihara (石原 慎太郎, Ishihara Shintarō, born 30 September 1932) is a Japanese politician and author who was Governor of Tokyo from 1999 to 2012.",Shintaro Ishihara 
213,Who is Rajpal Yadav?,"Rajpal Yadav is an Indian actor, known for his works in Hindi cinema.","[[-0.02042911  0.04943122  0.00046169 ... -0.01258786 -0.0301681
   0.03264456]]","Rajpal Yadav is an Indian actor, known for his works in Hindi cinema.","Rajpal Yadav is an Indian actor, known for his works in Hindi cinema."
214,"When was Vijayaraj Alagarswami,  an Indian politician and film actor who has worked predominantly in Tamil cinema born?","Vijayaraj Alagarswami  (born 25 August 1952), better known by his stage name Vijayakanth, is an Indian politician and film actor who has worked predominantly in Tamil cinema.","[[-0.01890067  0.08152694  0.13015898 ...  0.07600488  0.01238535
   0.07942784]]","Vijayaraj Alagarswami  (born 25 August 1952), better known by his stage name Vijayakanth, is an Indian politician and film actor who has worked predominantly in Tamil cinema.",25 August 1952
215,"What is Upendra Rao, an Indian filmmaker, actor and politician known for his work in Kannada cinema also known as?","Upendra Rao, also known as Upendra, is an Indian filmmaker, actor and politician known for his work in Kannada cinema.","[[-0.02042911  0.10738696  0.19705811 ...  0.07795156  0.00147577
   0.07967421]]","Upendra Rao, also known as Upendra, is an Indian filmmaker, actor and politician known for his work in Kannada cinema.",Upendra
216,"When did Upendra Jethalal Trivedi, an Indian film and stage actor, director and producer die?","Upendra Jethalal Trivedi (14 July 1936 –  4 January 2015) was an Indian film and stage actor, director and producer who was one of the most prolific actors of Gujarati cinema.","[[-0.02874381  0.12232891  0.13912238 ...  0.04779847  0.0049479
   0.1200556 ]]","Upendra Jethalal Trivedi (14 July 1936 –  4 January 2015) was an Indian film and stage actor, director and producer who was one of the most prolific actors of Gujarati cinema.",4 January 2015
217,Name a former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman?,Vani Tripathi is former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman.,"[[ 0.01666664  0.11606012  0.19248565 ...  0.02295335 -0.01078998
   0.14459789]]",Vani Tripathi is former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman.,Vani Tripathi is former national secretary of Bharatiya Janata Party and an Indian actor who has acted in films like Chalte Chalte and Dushman.
218,"Name an Indian film actress, producer and television presenter who has acted in more than 200 movies?","Khushbu Sundar is an Indian film actress, producer and television presenter who has acted in more than 200 movies.","[[-0.02874381  0.10371517  0.24572682 ...  0.1005469  -0.01362193
   0.10219385]]","Khushbu Sundar is an Indian film actress, producer and television presenter who has acted in more than 200 movies.",Khushbu Sundar is an Indian film actress
219,"When was  Shekhar Suman, an Indian film actor, anchor, producer, director, and singer born?","Shekhar Suman (born 7 December 1962) is an Indian film actor, anchor, producer, director, and singer .","[[-0.00020796  0.04943122  0.14904447 ...  0.03731787  0.02616466
   0.11365568]]","Shekhar Suman (born 7 December 1962) is an Indian film actor, anchor, producer, director, and singer .",7 December 1962
220,Name an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016?,Muthuvel Karunanidhi Stalin (born 1 March 1953) is an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016.,"[[-0.02874381  0.04943122  0.1925868  ...  0.06047494  0.02921562
   0.0758922 ]]",Muthuvel Karunanidhi Stalin (born 1 March 1953) is an Indian politician from Tamil Nadu and Leader of opposition in the Tamil Nadu Legislative Assembly  from 25 May 2016.,Muthuvel Karunanidhi Stalin 
221,"What is Divya Spandana,  an Indian film actress and politician who was the Member of Parliament in the Lok Sabha known professionally as?","Divya Spandana (born 29 November 1982), who was known professionally as Ramya (Kannada: ರಮ್ಯಾ Ramyā), is an Indian film actress and politician who was the Member of Parliament in the Lok Sabha from Mandya,  Karnataka.","[[-0.02042911  0.13451289  0.22482903 ...  0.02181445  0.03870387
   0.09215636]]","Divya Spandana (born 29 November 1982), who was known professionally as Ramya (Kannada: ರಮ್ಯಾ Ramyā), is an Indian film actress and politician who was the Member of Parliament in the Lok Sabha from Mandya,  Karnataka.",Ramya Kannada ರಮ್ಯಾ Ramyā
222,"When was Shruti Haasab, an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films born?","Shruti Haasan (born 28 January 1986) is an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films.","[[-0.01890067  0.04943122  0.23296586 ...  0.06633742 -0.00218499
   0.08187576]]","Shruti Haasan (born 28 January 1986) is an Indian film actress and singer who works predominantly in Tamil, Telugu, and Hindi language films.",28 January 1986
223,Who is Sattanathapuram Venkataraman Shekhar?,Sattanathapuram Venkataraman Shekhar (born 26 December 1950) better known as 'S.,"[[-0.02042911  0.04943122  0.06238465 ...  0.04963685 -0.06795799
  -0.01999664]]",Arun Govil is an Indian actor and producer.,Answer not found!
224,Name a three-time National Award winning Indian actress and politician from Andhra Pradesh?,Sharada (born Saraswati Devi; 25 June 1945) is a three-time National Award winning Indian actress and politician from Andhra Pradesh.,"[[ 0.03253815  0.04943122  0.1630586  ... -0.01258784  0.01006
   0.04545266]]",Sharada (born Saraswati Devi; 25 June 1945) is a three-time National Award winning Indian actress and politician from Andhra Pradesh.,Sharada 
225,When was Shabana Azmi born?,"Shabana Azmi (born 18 September 1950) is an Indian actress of film, television and theatre.","[[ 0.00246981  0.04943122  0.01666534 ... -0.01258786 -0.0191219
   0.02556681]]","Shabana Azmi (born 18 September 1950) is an Indian actress of film, television and theatre.",18 September 1950
226,"Name a former TDP parliamentarian, film actor,producer and director in Telugu cinema?","Kaikala Satyanarayana is a former TDP parliamentarian, film actor,producer and director in Telugu cinema.",[[0.01666664 0.22660041 0.16090558 ... 0.03914334 0.01955    0.10402724]],"Kaikala Satyanarayana is a former TDP parliamentarian, film actor,producer and director in Telugu cinema.",Kaikala Satyanarayana is a former TDP parliamentarian
227,"Name an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association?","Ramanathan Sarathkumar (born 14 July 1954) is an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association.","[[-0.02874381  0.10593913  0.16105056 ...  0.04741424  0.04048308
   0.12062101]]","Ramanathan Sarathkumar (born 14 July 1954) is an Indian film actor, politician, journalist and former body builder and former president of the South Indian Film Artistes' Association.",Ramanathan Sarathkumar 
228,"Name  an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films?","Kovai Sarala is an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films.","[[-0.02874381  0.04943122  0.20500748 ...  0.04241645  0.08535963
   0.09973855]]","Kovai Sarala is an Indian film actress and comedian, who prominently plays supporting roles in Tamil and Telugu films.",Kovai Sarala is an Indian film actress and comedian
229,Name an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam?,J. K. Rithesh (5 March 1973 – 13 April 2019) was an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam.,"[[-0.02874381  0.08355397  0.09890165 ...  0.02500636  0.03026848
   0.07778791]]",J. K. Rithesh (5 March 1973 – 13 April 2019) was an Indian actor and member of the All India Anna Dravida Munnetra Kazhagam.,J. K. Rithesh 
230,"When was Paresh Rawal, an Indian film actor, comedian and politician known for his works notably in Bollywood born?","Paresh Rawal (born 30 May 1955) is an Indian film actor, comedian and politician known for his works notably in Bollywood.","[[-0.01890067  0.08228721  0.14942437 ...  0.02214032  0.03104162
   0.07943414]]","Paresh Rawal (born 30 May 1955) is an Indian film actor, comedian and politician known for his works notably in Bollywood.",30 May 1955
231,"Name an Indian film character actor, and producer, known for his works predominantly in the Telugu cinema, and Telugu theatre?","Rao Gopal Rao (born Raavu Gopala Rao) (14 January 1937 – 13 August 1994) was an Indian film character actor, and producer, known for his works predominantly in the Telugu cinema, and Telugu theatre.","[[-0.02874381  0.08267877  0.11712454 ...  0.02382913  0.02131045
   0.10805178]]","Kota Srinivasa Rao is an Indian film actor, known for his works primarily in Telugu cinema and Telugu theatre.",Answer not found!
232,"What is Swetha, an Indian politician and former actress popularly known as?","Swetha (born 31 March 1984), popularly known as Rakshita, is an Indian politician and former actress.","[[-0.02042911  0.09348188  0.15404359 ... -0.00769512 -0.00246385
   0.07585433]]","Swetha (born 31 March 1984), popularly known as Rakshita, is an Indian politician and former actress.",Rakshita
233,Who is Basavanagowda Channabasavanagowda Patil?,"Basavanagowda Channabasavanagowda Patil, popularly known as B. C. Patil, is a Kannada actor and is a three-term MLA from Hirekerur assembly constituency.","[[-0.01543945  0.04943122  0.0589973  ... -0.01258786 -0.06795799
   0.04766112]]",Hon.,Answer not found!
234,Name an Indian politician and President of Lok Janshakti Party?,Chirag Paswan (born 31 October 1983) is an Indian politician and President of Lok Janshakti Party.,"[[-0.02874381  0.04943122  0.20323746 ...  0.00803606  0.00136061
   0.12930307]]",Chirag Paswan (born 31 October 1983) is an Indian politician and President of Lok Janshakti Party.,Chirag Paswan 
235,Who is Arun Pandian?,"Arun Pandian is an Indian film actor, director, producer and politician.","[[-0.02042911  0.04943122  0.05232825 ... -0.01258786 -0.00215589
  -0.00894903]]",Arun Govil is an Indian actor and producer.,Arun Govil is an Indian actor and producer.
236,"Name an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant?","Gul Panag (born Gulkirat Kaur Panag, 3 January 1979; Chandigarh, India) is an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant.","[[-0.02874381  0.07739488  0.1720609  ...  0.01991909  0.03548834
   0.09678724]]","Gul Panag (born Gulkirat Kaur Panag, 3 January 1979; Chandigarh, India) is an Indian actress, voice actress, model, and former beauty queen who competed in the Miss Universe pageant.",Gul Panag 
237,"When was Kajal Nishad, an Indian actress working in Bhojpuri cinema and Hindi Television and politician born?",Kajal Nishad (born 1 June 1982) is an Indian actress working in Bhojpuri cinema and Hindi Television and politician.,"[[-0.01890067  0.04943122  0.21995506 ...  0.09286632  0.00482748
   0.08016971]]",Kajal Nishad (born 1 June 1982) is an Indian actress working in Bhojpuri cinema and Hindi Television and politician.,1 June 1982
238,"Name an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka? ","Balaji Tangali Lalitha Naik (born 4 April 1945) is an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka.","[[-0.02874381  0.04943122  0.20500748 ...  0.13164915  0.07493991
   0.10051007]]","Balaji Tangali Lalitha Naik (born 4 April 1945) is an Indian film actress,  politician, writer,  social activist who was the minister of Kannada, Culture, and Department of Women & Child Welfare of Karnataka.",Balaji Tangali Lalitha Naik 
239,"What is Anant Nagarkatte, an Indian actor, known primarily for his work in Kannada cinema known as?","Anant Nagarkatte (born 4 September 1948) known as Anant Nag, is an Indian actor, known primarily for his work in Kannada cinema, and in addition he appeared in Marathi, Tamil, Malayalam, Telugu and Hindi movies.","[[-0.02042911  0.089868    0.18284294 ...  0.07443674 -0.01131815
   0.07791987]]","Upendra Rao, also known as Upendra, is an Indian filmmaker, actor and politician known for his work in Kannada cinema.",Answer not found!
240,"Name an Indian film actor, producer, politician and business executive from Telugu cinema?","Murali Mohan Maganti (born 24 June 1940) is an Indian film actor, producer, politician and business executive from Telugu cinema.","[[-0.02874381  0.04943122  0.1617937  ...  0.03853327  0.0708795
   0.10365088]]","Arun Pandian is an Indian film actor, director, producer and politician.",Answer not found!
241,When was Mahesh Vaman Manjrekar born?,"Mahesh Vaman Manjrekar (born 16 August 1958) is an Indian film director, actor, writer and producer.","[[ 0.04198152  0.04943122  0.09024654 ... -0.01258784 -0.04630822
   0.03946671]]","Mahesh Vaman Manjrekar (born 16 August 1958) is an Indian film director, actor, writer and producer.",16 August 1958
242,"Name an Indian actor, comedian and politician, who mostly works in Odia language films?","Harihara Mahapatra is an Indian actor, comedian and politician, who mostly works in Odia language films known as Ollywood.","[[-0.02874381  0.04943122  0.06291118 ...  0.05274623 -0.01330646
   0.08335851]]","Udayanidhi Stalin is an Indian politician, film producer and actor, who has worked on Tamil-language films.",Answer not found!
243,"Name an Indian stage and film actress, politician, and writer from Karnataka?","Chindodi Leela (1937 – 21 January 2010) was an Indian stage and film actress, politician, and writer from Karnataka.","[[-0.02874381  0.13816378  0.20910695 ...  0.01084684  0.03760947
   0.08920844]]","Chindodi Leela (1937 – 21 January 2010) was an Indian stage and film actress, politician, and writer from Karnataka.",Chindodi Leela 
244,"Who is Alokesh ""Bappi"" Lahiri?","Alokesh ""Bappi"" Lahiri (born 27 November 1952) is an Indian singer, composer, politician, disco musician and record producer.","[[-0.02042911  0.04943122 -0.05848324 ...  0.05824981 -0.05219669
   0.03741511]]","Alokesh ""Bappi"" Lahiri (born 27 November 1952) is an Indian singer, composer, politician, disco musician and record producer.","Alokesh ""Bappi"" Lahiri (born 27 November 1952) is an Indian singer, composer, politician, disco musician and record producer."
245,What is Ravindra Shyamnarayan Shukla popularly known as?,"Ravindra Shyamnarayan Shukla (born 17 July 1969), popularly known as Ravi Kishan, is an Indian actor, politician and television personality who is the current Member of Parliament in the Lok Sabha from Gorakhpur.","[[-0.02042911  0.06342907  0.11867921 ...  0.01769085 -0.01283247
   0.05117181]]","Rajpal Yadav is an Indian actor, known for his works in Hindi cinema.",Answer not found!
246,"Name a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films?","B. Jayashree (born 9 June 1950) is a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films.",[[0.01666664 0.07058731 0.21696994 ... 0.14084916 0.00750554 0.1170009 ]],"B. Jayashree (born 9 June 1950) is a veteran Indian theatre actress, director and singer, who has also acted in films and television and worked as dubbing artist in films.",B. Jayashree 
247,Name an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years?,Jayaram Jayalalithaa (24 February 1948 – 5 December 2016) was an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years between 1991 and 2016.,"[[-0.02874381  0.04943122  0.2081037  ...  0.06038771  0.01125897
   0.10283937]]",Jayaram Jayalalithaa (24 February 1948 – 5 December 2016) was an Indian politician and film actress who served six times as the Chief Minister of Tamil Nadu for over fourteen years between 1991 and 2016.,Jayaram Jayalalithaa 
248,What was Janaki Ramachandran commonly known as?,"Janaki Ramachandran (30 November 1923 – 19 May 1996, née Vaikom Narayani Janaki), commonly known as V. N. Janaki, was an Indian politician and activist  of  Tamil Nadu.","[[-0.01890067  0.12454942  0.10964356 ...  0.08544769 -0.04126994
   0.05117181]]","Janaki Ramachandran (30 November 1923 – 19 May 1996, née Vaikom Narayani Janaki), commonly known as V. N. Janaki, was an Indian politician and activist  of  Tamil Nadu.",V N Janaki
249,"Name an Indian actress, director and politician who appeared mainly in Telugu films?","Jamuna (born 30 August 1936) is an Indian actress, director and politician who appeared mainly in Telugu films.","[[-0.02874381  0.11163447  0.13242708 ...  0.03679841  0.01151492
   0.12270742]]","Jamuna (born 30 August 1936) is an Indian actress, director and politician who appeared mainly in Telugu films.",Jamuna 
250,When was Nusrat Jahan Ruhi Jain born?,Nusrat Jahan Ruhi Jain (born 8 January 1990) is an Indian film actress who predominantly works in Bengali cinema.,[[0.03231474 0.04943122 0.01799746 ... 0.06923588 0.00446297 0.01742829]],Nusrat Jahan Ruhi Jain (born 8 January 1990) is an Indian film actress who predominantly works in Bengali cinema.,8 January 1990
251,"What was P. V. Jagadish Kumar, an Indian film actor and screenwriter popularly known as?","P. V. Jagadish Kumar (born 12 June 1955), popularly known as Jagadish, is an Indian film actor and screenwriter.","[[-0.01890067  0.13526666  0.2232131  ...  0.01842488  0.02165123
   0.07248166]]","P. V. Jagadish Kumar (born 12 June 1955), popularly known as Jagadish, is an Indian film actor and screenwriter.",Jagadish
252,Name an Indian activist in the Indian National Congress  during the Indian independence movement?,F. G. Natesa Iyer (11 November 1880 – 23 January 1963) was an Indian activist in the Indian National Congress  during the Indian independence movement.,"[[-0.02874381  0.04943122  0.20880768 ...  0.00538502  0.02322029
   0.08380254]]",F. G. Natesa Iyer (11 November 1880 – 23 January 1963) was an Indian activist in the Indian National Congress  during the Indian independence movement.,F. G. Natesa Iyer 
253,Who is Nandamuri Harikrishna?,"Nandamuri Harikrishna (2 September 1953 – 29 August 2018) was an Indian film actor, producer and politician who was the Member of Parliament in the Rajya Sabha from Andhra Pradesh.","[[ 0.06075335  0.04943122  0.19270845 ... -0.01258786 -0.06795799
  -0.01612785]]",Nandamuri Balakrishna is an Indian politician and film actor known for his works in Telugu cinema.,Nandamuri Balakrishna is an Indian politician and film actor known for his works in Telugu cinema.
254,"What is Govinda Ahuja,  an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films known mononymously as?","Govind Ahuja (born 21 December 1963), known mononymously as Govinda,  is an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films.","[[-0.00877681  0.09975157  0.22051749 ...  0.08454121  0.12389724
   0.11720321]]","Govind Ahuja (born 21 December 1963), known mononymously as Govinda,  is an Indian film actor, comedian, dancer, and former politician known for his work in Hindi films.",Govinda
255,Who is Keezhoote Balakrishna Pillai Ganesh Kumar?,"Keezhoote Balakrishna Pillai Ganesh Kumar (born 25 May 1966) is an Indian actor, television host, and politician.","[[ 0.01637875  0.04943122  0.1616475  ... -0.01258784 -0.06795798
  -0.0056921 ]]","Keezhoote Balakrishna Pillai Ganesh Kumar (born 25 May 1966) is an Indian actor, television host, and politician.","Keezhoote Balakrishna Pillai Ganesh Kumar (born 25 May 1966) is an Indian actor, television host, and politician."
256,"What is Ajay Singh Deol, an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur better known as?","Ajay Singh Deol (born 19 October 1956), better known as Sunny Deol, is an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur (Lok Sabha constituency) of Punjab State.","[[-0.01620593  0.12898348  0.16784503 ...  0.02548903  0.03243734
   0.12570296]]","Ajay Singh Deol (born 19 October 1956), better known as Sunny Deol, is an Indian film actor, director, producer, politician and the current member of parliament from Gurdaspur (Lok Sabha constituency) of Punjab State.",Sunny Deol
257,"Name an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency?","Harindranath Chattopadhyay (2 April 1898 – 23 June 1990) was an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency.","[[-0.0151113   0.1031968   0.23461843 ...  0.02273423  0.0617548
   0.09210403]]","Harindranath Chattopadhyay (2 April 1898 – 23 June 1990) was an Indian English poet, a dramatist, an actor, a musician and a member of the 1st Lok Sabha from Vijayawada constituency.",Harindranath Chattopadhyay 
258,"Name an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha?","Nitish Bharadwaj (born 2 June 1963) is an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha.","[[-0.00263654  0.11589706  0.21321203 ...  0.06516526  0.07411762
   0.10153012]]","Nitish Bharadwaj (born 2 June 1963) is an Indian film actor, director, screenwriter, producer, veterinary doctor and former Member of Parliament in Lok Sabha.",Nitish Bharadwaj 
259,"Name an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian?","Vyjayanthimala (born 13 August 1936)  is an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian.","[[-0.02874381  0.09524453  0.22726016 ... -0.00097629  0.03483884
   0.08522473]]","Vyjayanthimala (born 13 August 1936)  is an Indian film actress, Bharathanatyam dancer, Carnatic singer, dance choreographer and parliamentarian.",Vyjayanthimala 
260,Name a Hindi and Punjabi film actor and politician belonging to Indian National Congress?,Raj Babbar (born 23 June 1952) is a Hindi and Punjabi film actor and politician belonging to Indian National Congress.,[[0.02665817 0.04943122 0.19676653 ... 0.04135694 0.01426991 0.06291531]],Raj Babbar (born 23 June 1952) is a Hindi and Punjabi film actor and politician belonging to Indian National Congress.,Raj Babbar 
